,난민 지위,전쟁 난민 인원 현황
350,G / AR,1
351,G / FI,4
352,G / JR,0
353,G / AR,67
354,G / FI,316
355,U / FI,0
356,G / FI,0
357,G / FI,0
358,G / FI,1
359,G / FI,1
360,G / FI,0
361,U / FI,0
362,U / FI,160
363,G / FA,7
364,U / FI,1
365,G / FI,6
366,G / FI,7
367,G / FI,2
368,U / FI,0
369,G / FI,30
370,G / FI,6
371,U / FI,18
372,U / FI,1
373,G / AR,3
374,G / FI,31
375,G / NA,50
376,G / FI,0
377,U / FI,4
378,U / FI,21
379,U / FI,6
380,G / FI,11
381,U / FI,5
382,G / FI,0
383,G / CA,3
384,G / FI,24
385,G / FI,92
386,G / FI,21
387,G / FI,5
388,G / FI,2
389,G / FI,1
390,G / FI,12
391,G / AR,132
392,G / FI,314
393,G / FA,2
394,G / AR,1
395,G / FI,1
396,U / FI,0
397,G / EO,2
398,G / FI,1
399,G / FI,0
400,G / TR,2
401,G / FI,0
402,G / FI,7
403,G / FI,1
404,G / FA,5
405,G / FI,1
406,G / EO,6
407,G / FI,0
408,G / FI,1
409,G / AR,3
410,G / FI,12
411,U / FI,1
412,G / FI,0
413,G / FA,4
414,G / FI,0
415,U / FI,0
416,G / FI,13
417,G / FI,1
418,G / FI,0
419,G / RA,7
420,G / NA,45
421,G / FI,2
422,G / FI,4
423,G / FI,0
424,G / FI,0
425,G / FA,4
426,G / FI,0
427,G / EO,23
428,G / FI,4
429,G / FI,1
430,G / FI,0
431,G / FI,0
432,G / AR,2
433,G / FI,19
434,U / FI,1
435,G / FA,1
436,G / FI,2
437,G / FI,0
438,G / FI,3
439,G / FI,2
440,G / FI,0
441,G / FI,2
442,G / RA,14
443,G / NA,478
444,G / FI,1
445,G / AR,0
446,G / CA,2
447,G / FI,32
448,G / FI,7
449,G / FI,5
450,G / FI,0
451,G / FA,5
452,G / FI,193
453,G / IN,346
454,G / EO,878
455,G / FI,42
456,G / AR,75
457,G / FI,54
458,G / FI,44
459,G / FI,58
460,G / FI,278
461,G / FI,13
462,U / FI,0
463,G / FI,1
464,G / AR,21
465,G / FI,20
466,G / JR,0
467,G / AR,19
468,G / FI,76
469,U / FI,1
470,G / FI,6
471,U / FI,1
472,U / FI,1
473,U / FI,1
474,G / FI,0
475,G / FA,53
476,G / FI,1
477,U / FI,1
478,G / FI,1849
479,U / FI,1
480,G / FI,35
481,G / BL,325
482,G / FI,925
483,G / AR,672
484,G / FI,1041
485,G / AR,3
486,G / FI,7
487,G / FI,94
488,G / AR,12
489,G / FI,15
490,G / RA,120
491,G / NA,304
492,G / AR,11
493,G / FI,49
494,U / FI,3
495,U / FI,1
496,G / CA,20
497,G / FI,149
498,G / FI,346
499,U / FI,19
500,G / FI,79
501,G / AR,9
502,G / FI,7
503,G / FA,310
504,G / FI,200
505,G / AR,242
506,G / FI,6
507,G / FI,10
508,G / EO,165
509,G / IN,194
510,G / AR,7
511,G / FI,14
512,U / FI,3
513,G / FI,2
514,G / AR,2
515,G / FI,362
516,G / AR,7
517,G / FI,5
518,G / JR,0
519,G / AR,6
520,G / FI,31
521,G / FI,1
522,U / FI,2
523,G / FI,110
524,G / FI,7
525,G / FI,84
526,G / FI,0
527,G / FI,6
528,G / AR,1
529,G / FI,10
530,G / RA,58
531,G / NA,221
532,G / AR,88
533,G / FI,81
534,U / FI,0
535,G / CA,1
536,G / FI,79
537,G / FI,186
538,G / FI,4
539,G / AR,8
540,G / FI,14
541,G / FA,18
542,G / FI,29
543,G / AR,13
544,G / FI,0
545,G / EO,19
546,U / FI,0
547,G / FI,14
548,G / JR,0
549,G / AR,1
550,G / FI,3
551,G / FI,3
552,G / FI,0
553,G / AR,4
554,G / FI,3
555,G / FI,0
556,G / FI,2
557,G / FI,4
558,G / AR,2
559,G / EO,9
560,G / FI,1
561,G / FI,2
562,G / FI,0
563,U / FI,0
564,G / EO,17
565,G / IN,51
566,U / FI,1
567,G / AR,751
568,G / FI,1305
569,G / FI,21
570,G / FI,3
571,G / FI,7
572,U / FI,1
573,G / AR,150
574,G / FI,236
575,G / JR,0
576,G / AR,1873
577,G / FI,2013
578,G / FI,1
579,G / FI,0
580,U / FI,1
581,G / FA,25
582,G / FI,1
583,G / FI,50
584,G / FI,1
585,G / FI,3
586,G / AR,0
587,G / FI,259
588,G / FI,16
589,G / FI,91
590,U / FI,2
591,G / AR,170
592,G / FI,301
593,G / RA,975
594,G / NA,1439
595,G / AR,4
596,G / FI,6
597,U / FI,1
598,G / CA,265
599,G / FI,2264
600,G / FI,24
601,G / FI,13
602,G / AR,1
603,G / FI,12
604,G / FA,158
605,G / AR,4
606,G / FI,10
607,U / FI,2
608,G / EO,69
609,G / IN,130
610,G / AR,45
611,G / FI,146
612,G / FI,4
613,G / FI,0
614,G / FI,0
615,G / FI,34
616,G / AR,33
617,G / FI,86
618,G / AR,11
619,G / FI,103
620,G / FI,1
621,G / FI,0
622,G / FI,3
623,G / FA,0
624,U / FI,2
625,G / FI,80
626,U / FI,4
627,G / FI,4
628,G / FI,1
629,G / FI,88
630,G / FI,11
631,G / FI,37
632,G / AR,5
633,G / FI,29
634,G / RA,64
635,G / NA,419
636,G / AR,7
637,G / FI,67
638,G / FI,74
639,G / FI,41
640,G / FI,0
641,G / AR,17
642,G / FI,31
643,G / FA,39
644,G / AR,1
645,G / FI,17
646,G / EO,16
647,G / FI,0
648,G / EO,46
649,G / AR,63
650,G / FI,49
651,G / FI,1
652,G / FI,0
653,G / FI,0
654,G / CA,4
655,G / FI,6
656,G / FI,25
657,G / FI,0
658,G / FA,2
659,G / AR,1
660,G / FI,10
661,G / FI,1
662,G / EO,233
663,G / IN,340
664,G / AR,2
665,G / FI,0
666,G / AR,0
667,G / FI,2
668,U / FI,1
669,U / FI,4
670,G / FI,1
671,G / FI,1
672,G / FI,0
673,G / NA,1
674,G / FI,7
675,G / FI,41
676,G / AR,3
677,G / FI,12
678,G / EO,3
679,G / AR,0
680,G / FI,1
681,G / FI,1
682,G / FI,10
683,G / EO,1
684,G / EO,3
685,G / FI,53
686,G / FI,0
687,G / JR,0
688,G / FI,5
689,G / AR,4
690,G / FI,8
691,G / FI,0
692,G / RA,4
693,G / NA,18
694,G / FI,4
695,G / FI,0
696,G / AR,2
697,G / FI,59
698,G / FA,8
699,G / FI,1
700,G / EO,0
701,G / FI,1
702,G / EO,4
703,G / FI,0
704,G / JR,0
705,G / AR,2
706,G / FI,5
707,U / FI,0
708,G / FA,2
709,G / FI,8
710,G / FI,0
711,U / FI,0
712,G / AR,0
713,G / FI,66
714,G / FI,5
715,U / FI,4
716,G / RA,0
717,G / NA,9
718,U / FI,4
719,U / FI,3
720,G / FI,0
721,G / CA,1
722,G / FI,1
723,G / FI,4
724,G / FI,7
725,G / FI,0
726,G / EO,17
727,G / FI,1
728,G / FI,2
729,G / AR,1
730,G / FI,1
731,U / FI,1
732,G / NA,2
733,G / FI,1
