,난민 지위,전쟁 난민 인원 현황
36235,G / AR,0
36236,G / FA,1
36237,U / FA,4
36238,G / FI,0
36239,G / FI,1
36240,G / AR,25
36241,G / FI,10
36242,G / FA,960
36243,G / FI,141
36244,G / AR,20
36245,G / JR,15
36246,U / FI,9
36247,G / FI,30
36248,G / AR,51
36249,G / FI,287
36250,G / FI,58
36251,G / FI,198
36252,G / FI,506
36253,G / FI,8
36254,U / FA,0
36255,G / FI,52
36256,G / AR,4
36257,U / FI,0
36258,G / AR,16
36259,G / FI,5
36260,G / JR,0
36261,G / RA,976
36262,G / NA,536
36263,G / FI,98
36264,G / AR,94
36265,J / FI,3
36266,G / FI,11
36267,J / FI,0
36268,G / FI,186
36269,G / FI,105
36270,G / RA,27
36271,G / FI,2387
36272,G / AR,1250
36273,G / FA,1148
36274,U / FI,0
36275,G / FI,18
36276,U / FA,6
36277,U / FI,209
36278,U / AR,17
36279,G / AR,83
36280,G / FI,118
36281,U / FI,138
36282,G / FI,2
36283,G / FA,257
36284,G / FI,2
36285,G / FI,86
36286,G / FA,75
36287,U / FA,0
36288,U / FI,3
36289,U / FI,1
36290,G / FI,2
36291,G / FI,0
36292,G / FA,1
36293,G / FA,5
36294,G / FI,0
36295,U / FA,19
36296,G / FI,933
36297,G / JR,0
36298,G / AR,433
36299,G / AR,699
36300,G / FI,262
36301,G / AR,6
36302,U / FA,2578
36303,G / FI,21
36304,G / AR,0
36305,G / FA,6
36306,G / FI,822
36307,U / FI,0
36308,G / FI,55
36309,G / FA,2
36310,G / FI,350
36311,U / FI,25
36312,U / AR,41
36313,U / RA,3
36314,G / FA,233
36315,U / FI,11
36316,U / FI,209
36317,U / AR,22
36318,U / RA,3
36319,G / FI,184
36320,G / AR,34
36321,G / EO,59
36322,G / IN,40
36323,U / FI,534
36324,G / FI,0
36325,G / FI,2
36326,G / AR,0
36327,G / FA,28
36328,G / AR,93
36329,G / FI,177
36330,G / FI,5
36331,G / AR,1
36332,G / FI,0
36333,G / FI,49
36334,G / FI,13
36335,G / FI,23
36336,G / FI,260
36337,U / FA,1
36338,G / FI,1
36339,U / FA,6
36340,U / FA,2
36341,J / FA,4
36342,G / AR,9
36343,G / FI,3
36344,G / JR,0
36345,G / NA,117
36346,G / RA,36
36347,G / FI,0
36348,U / FI,0
36349,U / FI,0
36350,G / FI,9
36351,G / FI,34
36352,G / FI,747
36353,G / AR,621
36354,G / RA,89
36355,G / FA,31
36356,G / FI,105
36357,G / AR,85
36358,G / FI,1
36359,G / FA,1
36360,U / AR,1
36361,U / FI,1
36362,G / FI,3
36363,U / AR,1
36364,G / AR,35
36365,G / FI,38
36366,G / FA,20
36367,U / FI,1
36368,U / FA,0
36369,G / FI,0
36370,G / FI,0
36371,U / FA,2
36372,G / FA,1
36373,G / FI,1
36374,G / FI,0
36375,G / FA,3
36376,G / FI,1
36377,G / FI,2
36378,G / FI,253
36379,G / AR,178
36380,G / JR,0
36381,G / AR,52
36382,G / FI,15
36383,U / FA,0
36384,G / FI,1
36385,G / FI,2
36386,G / FI,5
36387,G / FI,1
36388,G / FI,0
36389,U / FI,1
36390,G / FI,13
36391,J / FA,0
36392,G / AR,4
36393,G / FI,11
36394,G / EO,42
36395,G / IN,14
36396,G / FI,161
36397,G / FI,0
36398,G / AR,18
36399,G / FI,12
36400,G / FA,48
36401,G / FI,92
36402,G / AR,56
36403,G / FI,0
36404,G / FI,1
36405,G / FI,325
36406,G / FI,38
36407,G / FI,2
36408,G / NA,102
36409,G / JR,0
36410,G / RA,39
36411,G / FI,7
36412,G / AR,1
36413,G / FI,4
36414,G / FI,16
36415,G / FI,407
36416,G / RA,83
36417,G / FI,158
36418,G / AR,90
36419,G / FA,23
36420,G / FI,4
36421,G / AR,32
36422,G / FI,46
36423,G / FA,28
36424,G / FI,6
36425,U / FI,1
36426,U / FA,0
36427,G / FI,28
36428,G / AR,5
36429,G / JR,0
36430,G / AR,51
36431,G / FI,49
36432,G / AR,0
36433,G / FI,0
36434,G / FA,5
36435,U / FI,2
36436,G / FA,27
36437,G / FI,75
36438,U / FI,0
36439,G / EO,1207
36440,G / IN,325
36441,G / FI,0
36442,G / EO,2
36443,G / FI,1
36444,G / FI,1
36445,G / AR,0
36446,U / FI,0
36447,G / FI,2
36448,G / FI,3
36449,G / AR,1
36450,G / FI,1
36451,G / FI,1
36452,U / AR,1
36453,U / FI,1
36454,G / EO,8
36455,G / IN,2
36456,G / FI,3
36457,G / AR,0
36458,G / FI,1
36459,G / FI,3
36460,G / FI,50
36461,J / FI,1
36462,G / FI,1
36463,G / FI,0
36464,G / FI,8
36465,G / FI,0
36466,G / EO,276
36467,G / IN,44
36468,G / FI,6
36469,G / AR,2
36470,G / FA,351
36471,G / FI,204
36472,G / AR,81
36473,G / FI,52
36474,G / FI,4
36475,G / FI,27
36476,G / FI,157
36477,G / FI,26
36478,G / AR,3
36479,G / AR,61
36480,G / FI,57
36481,G / JR,0
36482,G / NA,390
36483,G / RA,124
36484,G / FI,11
36485,G / AR,0
36486,G / FI,30
36487,G / FI,35
36488,G / FI,1335
36489,G / AR,835
36490,G / RA,201
36491,G / FI,23
36492,G / FA,34
36493,G / FI,4
36494,G / RA,3
36495,G / FI,12
36496,G / AR,4
36497,G / FI,7
36498,G / FI,2
36499,J / FA,1
36500,G / FA,27
36501,G / FI,6
36502,G / FI,1
36503,G / FI,0
36504,G / FA,23
36505,G / FI,247
36506,G / AR,160
36507,G / JR,0
36508,G / AR,24
36509,G / FI,24
36510,G / FI,34
36511,G / AR,6
36512,G / FI,1
36513,G / FA,0
36514,G / FI,10
36515,G / FI,11
36516,G / FA,4
36517,G / FI,240
36518,U / FI,0
36519,G / FI,43
36520,G / AR,2
36521,G / EO,732
36522,G / IN,455
36523,U / FI,6
36524,G / FI,8
36525,G / IN,1
36526,G / EO,1
36527,G / FI,0
36528,G / FI,2
36529,G / JR,0
36530,G / FI,1
36531,U / AR,1
36532,U / FI,1
36533,G / AR,1
36534,G / EO,1
36535,G / IN,0
36536,G / FI,0
36537,G / FI,0
36538,G / FI,1
36539,G / EO,1
36540,G / IN,1
36541,U / FA,1
36542,G / FI,0
36543,G / FI,1
36544,G / FI,2
36545,G / AR,1
36546,G / FA,70
36547,G / FI,54
36548,G / AR,36
36549,G / FI,2
36550,G / FI,2
36551,G / FI,37
36552,G / FI,53
36553,G / FI,6
36554,G / AR,1
36555,G / JR,0
36556,G / NA,531
36557,G / RA,113
36558,G / FI,8
36559,G / AR,6
36560,G / FI,4
36561,G / FI,25
36562,G / FI,547
36563,G / AR,0
36564,G / RA,111
36565,G / FI,57
36566,G / FA,2
36567,G / FA,18
36568,G / FI,1
36569,G / AR,4
36570,G / FI,8
36571,J / FA,2
36572,G / FA,31
36573,G / FI,1
36574,G / FA,3
36575,G / FI,388
36576,G / AR,502
36577,G / JR,0
36578,G / AR,61
36579,G / FI,53
36580,G / FI,16
36581,G / AR,0
36582,G / FI,22
36583,G / FI,0
36584,G / FA,0
36585,G / FI,253
36586,U / FI,3
36587,U / FI,4
36588,G / FI,33
36589,G / AR,1
36590,G / EO,59
36591,G / IN,51
36592,U / FI,2
36593,G / FA,0
36594,G / FI,1
36595,G / AR,1
36596,G / FA,7
36597,G / AR,47
36598,G / FI,232
36599,G / FI,4
36600,G / FI,0
36601,G / FI,0
36602,G / FI,8
36603,G / FI,9
36604,G / FI,181
36605,G / FI,31
36606,G / FI,0
36607,U / FA,3
36608,G / FI,7
36609,U / FA,14
36610,U / FA,29
36611,J / FA,3
36612,G / JR,0
36613,G / NA,16
36614,G / RA,6
36615,G / FI,19
36616,G / AR,2
36617,J / FI,1
36618,U / FI,0
36619,G / FI,3
36620,J / FI,5
36621,G / FI,0
36622,G / FI,23
36623,G / RA,12
36624,G / FA,2
36625,G / FI,52
36626,G / AR,70
36627,G / FI,0
36628,G / FI,0
36629,G / FA,24
36630,U / FI,1
36631,G / FI,17
36632,G / AR,16
36633,J / FA,2
36634,G / FA,9
36635,G / FI,1
36636,U / FI,49
36637,U / AR,6
36638,G / FI,0
36639,U / FA,0
36640,G / FI,0
36641,G / FI,1
36642,G / FA,184
36643,G / FI,831
36644,U / FA,0
36645,G / FI,17
36646,G / FI,2
36647,G / FI,527
36648,G / JR,0
36649,G / AR,68
36650,G / FI,50
36651,G / AR,71
36652,U / FA,0
36653,G / FI,3
36654,G / FI,4
36655,G / AR,1
36656,G / FA,1
36657,G / FI,1
36658,G / FI,0
36659,U / AR,78
36660,U / FI,0
36661,G / FI,2
36662,G / FI,281
36663,J / FA,0
36664,U / FI,2
36665,G / FI,0
36666,U / FI,0
36667,U / FI,1
36668,U / RA,0
36669,G / FA,0
36670,G / FI,115
36671,G / AR,3
36672,G / FI,1
36673,G / IN,51
36674,G / EO,27
36675,G / FI,60
36676,G / FA,6
36677,G / FA,198
36678,G / FI,1
36679,G / FI,1
36680,G / FI,1
36681,G / EO,19
36682,G / FI,0
36683,G / FA,4
36684,G / FI,13
36685,G / AR,3
36686,G / FI,3
36687,G / FI,2
36688,G / FI,18
36689,G / FI,0
36690,U / FA,2
36691,G / JR,0
36692,G / NA,24
36693,G / RA,2
36694,U / FI,0
36695,G / FI,0
36696,G / FI,0
36697,G / RA,0
36698,G / FI,9
36699,G / FI,0
36700,G / FI,0
36701,G / FA,1
36702,G / FI,7
36703,G / AR,2
36704,G / FA,14
36705,G / FI,0
36706,U / FA,9
36707,G / FI,1
36708,G / FI,8
36709,G / JR,0
36710,G / AR,1
36711,G / AR,3
36712,G / FI,0
36713,U / FA,0
36714,G / FI,0
36715,G / FI,6
36716,G / FI,0
36717,G / AR,0
36718,G / FI,1
36719,G / EO,8
36720,G / IN,4
36721,G / FI,0
36722,G / FA,3
36723,G / FI,22
36724,G / AR,1
36725,G / FI,8
36726,G / AR,1
36727,G / FI,6
36728,G / FI,5
36729,G / FI,1
36730,G / FI,0
36731,G / JR,0
36732,G / NA,18
36733,G / RA,10
36734,G / FI,4
36735,G / AR,3
36736,G / FI,1
36737,G / FI,0
36738,G / FI,0
36739,G / RA,0
36740,G / FI,1
36741,G / FI,7
36742,G / FA,24
36743,U / FI,0
36744,G / FI,1
36745,U / FA,1
36746,G / AR,0
36747,G / FI,1
36748,J / FA,1
36749,G / FA,34
36750,G / FI,0
36751,U / FA,0
36752,G / FI,0
36753,G / FI,9
36754,G / FI,11
36755,G / JR,0
36756,G / FI,1
36757,G / AR,1
36758,G / FA,2
36759,G / FI,0
36760,G / FI,0
36761,U / AR,0
36762,U / FI,0
36763,G / AR,0
36764,G / FI,1
36765,G / EO,41
36766,G / IN,46
36767,G / FI,0
36768,G / FA,0
36769,G / FI,0
36770,G / AR,215
36771,G / FI,59
36772,G / FA,158
36773,G / FI,1
36774,G / FI,16
36775,G / AR,17
36776,G / FI,9
36777,U / FI,0
36778,G / FI,0
36779,G / FI,243
36780,G / FI,61
36781,G / AR,1152
36782,G / FI,729
36783,G / NA,92
36784,G / JR,0
36785,G / RA,7
36786,G / FI,4
36787,G / AR,6
36788,G / FI,134
36789,G / FI,32
36790,J / FI,0
36791,G / FI,1159
36792,G / AR,692
36793,G / RA,131
36794,G / FI,392
36795,G / AR,205
36796,G / FA,3167
36797,U / FI,163
36798,U / AR,14
36799,U / RA,1
36800,G / FI,2
36801,G / FI,14
36802,U / FA,1
36803,U / FI,0
36804,G / AR,14
36805,G / FI,6
36806,G / FA,475
36807,U / FI,1
36808,G / FI,17
36809,U / FI,0
36810,U / FI,2
36811,G / FA,5
36812,U / FI,1
36813,G / FI,0
36814,G / FI,3
36815,G / FI,1
36816,G / FA,0
36817,U / FA,91
36818,G / FI,22
36819,G / JR,0
36820,G / AR,6
36821,G / FI,13
36822,G / AR,16
36823,U / FI,1
36824,U / AR,1
36825,G / AR,32
36826,G / FI,18
36827,U / FA,0
36828,G / FI,13
36829,G / AR,1
36830,G / FI,0
36831,G / FA,20
36832,U / FI,2
36833,G / FI,190
36834,G / FA,6
36835,G / FI,59
36836,U / FI,0
36837,U / FI,5
36838,G / FI,243
36839,G / AR,59
36840,G / EO,390
36841,G / IN,154
36842,G / FI,66
36843,G / FI,0
36844,G / AR,5
36845,G / FI,3
36846,G / FA,44
36847,G / FI,11
36848,G / AR,26
36849,G / FI,0
36850,G / FI,63
36851,G / FI,185
36852,G / FI,3
36853,G / AR,23
36854,G / FI,13
36855,G / NA,153
36856,G / RA,61
36857,G / JR,0
36858,G / FI,9
36859,G / AR,0
36860,G / FI,0
36861,G / FI,457
36862,G / FI,0
36863,G / RA,0
36864,G / FI,9
36865,G / FA,39
36866,G / AR,1
36867,G / FI,0
36868,J / FA,0
36869,G / FA,32
36870,G / FI,1
36871,U / FA,0
36872,G / FI,11
36873,G / AR,4
36874,G / JR,0
36875,G / AR,13
36876,G / FI,2
36877,G / AR,5
36878,G / FI,5
36879,G / FI,1
36880,G / AR,0
36881,G / FI,2
36882,G / FA,0
36883,U / FI,1
36884,G / FI,0
36885,G / FI,737
36886,G / FI,4
36887,G / IN,223
36888,G / EO,177
36889,G / FI,0
36890,G / FI,17
36891,G / AR,11
36892,G / FI,0
36893,G / FI,2
36894,G / FI,2
36895,G / FI,1
36896,G / FI,0
36897,G / AR,1
36898,G / FI,1
36899,G / FI,0
36900,G / EO,13
36901,G / IN,1
36902,G / FI,0
36903,G / FA,1
36904,G / EO,6
36905,G / IN,3
36906,G / FI,1
36907,G / AR,1
36908,G / FA,280
36909,G / AR,42
36910,G / FI,28
36911,G / FI,2
36912,G / FI,26
36913,G / FI,738
36914,G / FI,0
36915,G / AR,0
36916,G / FI,6
36917,G / AR,3
36918,G / JR,0
36919,G / NA,224
36920,G / RA,135
36921,G / FI,18
36922,G / AR,10
36923,G / FI,1
36924,G / FI,29
36925,G / AR,1065
36926,G / FI,492
36927,G / RA,246
36928,G / FI,52
36929,G / FA,0
36930,G / FI,3
36931,G / FI,3
36932,G / FI,1
36933,G / AR,0
36934,G / FA,14
36935,G / FI,1
36936,G / FI,5
36937,U / FI,0
36938,G / FI,112
36939,G / AR,67
36940,G / JR,0
36941,G / AR,65
36942,G / FI,51
36943,U / FA,0
36944,G / FA,1
36945,G / FI,1
36946,G / FA,125
36947,G / FI,272
36948,U / AR,0
36949,G / EO,39
36950,G / IN,39
36951,G / AR,4
36952,G / FI,1
36953,G / FA,233
36954,G / FI,136
36955,G / AR,63
36956,G / FI,0
36957,G / FI,29
36958,G / FI,60
36959,G / FI,6
36960,G / AR,0
36961,G / FI,177
36962,G / AR,105
36963,G / NA,110
36964,G / JR,0
36965,G / RA,43
36966,G / FI,0
36967,G / AR,0
36968,G / FI,7
36969,G / FI,87
36970,G / FI,166
36971,G / RA,51
36972,G / FI,76
36973,G / FA,18
36974,G / FI,6
36975,G / FI,42
36976,G / AR,5
36977,G / FI,2
36978,J / FA,0
36979,G / FA,15
36980,G / FA,2
36981,U / FI,0
36982,G / FI,4
36983,G / FI,5
36984,G / FI,0
36985,G / FA,1
36986,G / FI,59
36987,G / JR,0
36988,G / AR,16
36989,G / FI,33
36990,G / AR,13
36991,G / FI,79
36992,G / AR,13
36993,G / FI,3
36994,G / FA,0
36995,G / FI,1
36996,G / FI,11
36997,G / FA,2
36998,G / FI,281
36999,U / FI,1
37000,G / FI,11
37001,G / AR,4
37002,G / EO,246
37003,G / IN,287
37004,G / FI,1
37005,G / FI,3
37006,U / FI,1
37007,J / FI,0
37008,G / EO,17
37009,G / IN,2
37010,G / EO,1
37011,G / FI,0
37012,G / FA,2
37013,G / FI,0
37014,G / FI,1
37015,G / FI,17
37016,G / FI,15
37017,J / FI,0
37018,G / FI,14
37019,G / FI,0
37020,G / FI,12
37021,G / FA,2
37022,G / JR,0
37023,G / FI,1
37024,G / FI,1
37025,G / FA,3
37026,G / FI,591
37027,G / EO,18
37028,G / IN,17
37029,G / FI,0
37030,G / FI,0
37031,G / AR,5
37032,G / FI,4
37033,G / FA,1
37034,G / FI,0
37035,G / FI,116
37036,G / FI,7
37037,G / NA,2
37038,G / FI,0
37039,J / FI,0
37040,G / FI,1
37041,G / FI,15
37042,G / FI,7
37043,G / FI,12
37044,G / AR,2
37045,G / FA,5
37046,G / FI,0
37047,G / FI,4
37048,G / FI,3
37049,G / JR,0
37050,G / AR,0
37051,G / FI,5
37052,G / AR,2
37053,G / FI,1
37054,G / FI,8
37055,G / EO,250
37056,G / IN,186
37057,G / FI,15
37058,G / FI,0
37059,G / FA,0
37060,G / EO,5
37061,G / IN,1
37062,G / AR,1
37063,G / FA,0
37064,G / FI,19
37065,G / AR,9
37066,G / FI,0
37067,G / FI,1
37068,G / NA,9
37069,G / JR,0
37070,G / FI,1
37071,G / FI,13
37072,G / FI,13
37073,G / AR,2
37074,U / FA,0
37075,G / FI,10
37076,G / JR,0
37077,G / AR,1
37078,G / FI,1
37079,G / AR,8
37080,G / FI,25
37081,G / AR,7
37082,G / FI,1
37083,G / IN,8
37084,G / EO,1
37085,G / FA,0
37086,G / FI,13
37087,G / FI,3
37088,U / FI,1
37089,J / FA,0
37090,U / FA,1
37091,G / IN,2
37092,G / EO,0
37093,G / FI,0
37094,G / FI,0
37095,G / FA,1
37096,G / FI,17
37097,G / AR,2
37098,G / FI,26
37099,G / AR,14
37100,G / FI,3
37101,G / AR,12
37102,G / FI,1
37103,G / FI,17
37104,G / FI,2
37105,G / FI,24
37106,U / FA,1972
37107,U / FA,3
37108,J / FA,30
37109,G / JR,0
37110,G / NA,1
37111,U / FI,1
37112,G / FI,196
37113,G / RA,11
37114,G / FA,3
37115,G / FI,5
37116,G / FI,0
37117,G / FI,0
37118,G / FI,0
37119,G / FI,1
37120,G / AR,0
37121,G / FI,1
37122,J / FA,2
37123,G / FA,7
37124,U / FI,0
37125,U / FA,0
37126,U / FA,3
37127,G / FI,3
37128,G / FI,1
37129,U / FA,1
37130,U / FA,0
37131,G / FI,0
37132,G / FI,5
37133,G / FI,3
37134,G / FI,5
37135,G / JR,0
37136,G / FI,0
37137,G / FA,1
37138,U / FA,1
37139,G / FI,2
37140,G / FA,5
37141,G / FI,8
37142,G / EO,46
37143,G / IN,23
37144,G / FI,0
37145,G / FI,0
37146,G / FA,0
37147,G / FI,0
37148,G / RA,1
37149,G / FI,1
37150,G / AR,0
37151,G / FI,2
37152,G / AR,2
37153,G / FI,2
37154,G / EO,20
37155,G / IN,9
37156,G / FI,1
37157,G / FI,1
37158,G / FI,0
37159,G / JR,0
37160,G / FI,0
37161,G / FI,0
37162,G / EO,0
37163,G / FI,0
37164,G / FI,0
37165,G / FI,5
37166,G / AR,5
37167,G / FA,0
37168,G / AR,2
37169,G / FI,2
37170,G / FI,1
37171,G / FI,43
37172,G / FI,1
37173,G / NA,1
37174,J / FI,0
37175,G / FI,1
37176,G / FI,4
37177,G / FI,2
37178,G / AR,1
37179,G / AR,1
37180,G / AR,8
37181,G / FI,4
37182,G / FI,57
37183,G / EO,17
37184,G / IN,11
37185,U / FI,2
37186,G / FA,7
37187,G / FI,0
37188,G / AR,1085
37189,G / FI,1048
37190,G / FA,341
37191,G / AR,163
37192,G / FI,97
37193,G / FI,7
37194,G / FA,4
37195,G / FI,1
37196,G / FI,1552
37197,G / FI,1078
37198,G / FI,267
37199,G / AR,8
37200,G / AR,140
37201,G / FI,132
37202,G / NA,431
37203,G / JR,0
37204,G / RA,124
37205,G / FI,1
37206,G / AR,15
37207,J / FI,1
37208,U / FI,0
37209,G / FI,3
37210,G / FI,11
37211,G / AR,1907
37212,G / FI,1265
37213,G / RA,18
37214,G / FI,1792
37215,G / AR,700
37216,G / FA,185
37217,G / FI,6
37218,G / FI,261
37219,U / FA,2
37220,G / FI,128
37221,G / AR,13
37222,J / FA,1
37223,G / FA,4
37224,G / FI,13
37225,U / FA,6
37226,U / FA,4
37227,U / AR,1
37228,G / FA,86
37229,U / FI,3
37230,G / FI,0
37231,U / FA,0
37232,G / FI,0
37233,G / FA,0
37234,G / FI,13
37235,U / FA,8
37236,U / FA,9
37237,G / FI,336
37238,G / JR,0
37239,G / AR,106
37240,G / FI,33
37241,G / AR,32
37242,U / FI,1
37243,G / FI,17
37244,G / AR,6
37245,U / FA,3
37246,G / FI,1
37247,G / FI,3
37248,G / AR,0
37249,G / FI,2
37250,G / FA,47
37251,U / FI,4
37252,U / FI,5
37253,G / FI,178
37254,G / FA,1
37255,G / FI,66
37256,U / FI,74
37257,U / AR,22
37258,U / RA,6
37259,U / FI,0
37260,U / FI,21
37261,U / AR,0
37262,U / RA,0
37263,G / FI,11
37264,G / AR,3
37265,G / EO,8258
37266,G / IN,5128
37267,U / FI,1
37268,U / FA,5
37269,G / FI,56
37270,G / FA,126
37271,G / FI,1
37272,G / AR,2
37273,G / FI,2
37274,G / FA,15
37275,G / FI,463
37276,G / AR,52
37277,G / FI,243
37278,G / AR,2
37279,G / FI,52
37280,G / FI,2
37281,G / FA,1
37282,G / FI,1
37283,G / FI,3
37284,G / FI,20
37285,G / FI,57
37286,G / FI,177
37287,U / FA,3
37288,U / FA,344
37289,U / FA,5
37290,J / FA,48
37291,G / FI,0
37292,G / FI,2
37293,G / AR,1
37294,G / FI,0
37295,G / AR,9
37296,G / JR,0
37297,G / NA,77
37298,G / RA,9
37299,G / FI,3
37300,G / AR,1
37301,U / FI,10
37302,U / FI,0
37303,G / FI,110
37304,G / FI,2
37305,G / FI,1075
37306,G / AR,639
37307,G / RA,107
37308,G / FA,15
37309,G / FI,186
37310,G / AR,140
37311,G / FI,0
37312,G / FI,319
37313,G / FI,41
37314,G / FI,22
37315,G / FA,80
37316,U / FI,4
37317,U / AR,3
37318,G / FI,1
37319,U / FA,3
37320,U / FI,1
37321,G / FI,24
37322,G / AR,14
37323,J / FA,82
37324,G / FA,620
37325,U / FI,3
37326,G / FA,2
37327,G / FI,8
37328,U / FA,2
37329,G / FI,0
37330,U / FA,192
37331,G / FI,2
37332,G / FI,76
37333,G / FI,39
37334,G / FA,0
37335,U / FA,99
37336,U / FA,11
37337,G / FI,9
37338,G / FI,13
37339,G / FI,207
37340,G / AR,81
37341,G / JR,0
37342,G / FI,10
37343,G / AR,17
37344,U / FA,0
37345,G / FI,3
37346,G / AR,0
37347,G / FI,7
37348,G / FA,8
37349,U / FI,0
37350,G / FI,88
37351,U / FI,50
37352,G / FA,1
37353,G / FI,32
37354,U / FI,2
37355,U / AR,0
37356,G / FA,1
37357,G / FI,48
37358,G / AR,0
37359,U / FI,9
37360,U / AR,2
37361,U / FA,3
37362,U / FI,7
37363,G / FI,11
37364,G / AR,2
37365,G / EO,337
37366,G / IN,271
37367,G / FI,0
37368,G / FI,2
37369,G / FA,0
37370,G / FI,4
37371,G / FI,15
37372,G / AR,11
37373,G / FA,44
37374,G / AR,202
37375,G / FI,235
37376,G / FI,51
37377,G / AR,0
37378,G / FI,0
37379,G / AR,15
37380,G / FI,0
37381,G / FI,10
37382,G / FI,1
37383,G / FI,82
37384,G / FI,178
37385,U / FA,1
37386,G / FI,5
37387,G / FI,14
37388,G / AR,1
37389,G / FI,15
37390,G / JR,0
37391,G / NA,257
37392,G / RA,65
37393,G / FI,3
37394,G / AR,4
37395,U / FI,0
37396,J / FI,1
37397,U / FI,1
37398,G / FI,41
37399,G / FA,1
37400,J / FI,3
37401,G / FI,32
37402,G / FI,289
37403,G / RA,42
37404,G / FA,10
37405,G / FI,242
37406,G / AR,215
37407,G / FI,0
37408,G / FI,0
37409,G / FA,8
37410,U / AR,17
37411,U / FI,4
37412,G / FI,5
37413,U / FA,0
37414,U / FI,2
37415,G / AR,49
37416,G / FI,68
37417,J / FA,14
37418,G / FA,108
37419,G / FI,2
37420,U / FI,1
37421,G / FA,1
37422,G / FI,1
37423,U / FA,1
37424,G / FI,2
37425,G / FI,0
37426,U / FA,26
37427,G / FA,1
37428,G / FI,12
37429,G / FI,0
37430,G / FI,1
37431,U / FA,14
37432,G / FI,2
37433,G / AR,1
37434,G / FI,1
37435,G / FI,7
37436,G / FI,74
37437,G / JR,0
37438,G / AR,18
37439,G / AR,101
37440,G / FI,9
37441,U / FI,0
37442,G / FI,9
37443,G / AR,0
37444,G / FA,2
37445,G / FI,0
37446,U / FI,1
37447,G / FI,0
37448,G / FI,21
37449,U / FI,0
37450,G / FA,2
37451,G / FI,0
37452,U / FI,0
37453,U / AR,1
37454,U / FA,1
37455,U / FI,0
37456,G / FI,11
37457,G / AR,0
37458,G / EO,710
37459,G / IN,540
37460,G / FI,38
37461,G / FA,20
37462,G / AR,3
37463,G / FA,67
37464,U / FI,1
37465,G / FI,4786
37466,U / FI,68
37467,G / AR,809
37468,G / FI,1185
37469,G / FI,524
37470,G / AR,8
37471,G / FI,0
37472,G / AR,10
37473,G / FI,2
37474,G / FI,77
37475,G / FI,8
37476,G / FI,247
37477,G / FI,322
37478,G / FI,390
37479,G / FI,2
37480,U / FA,4
37481,G / FI,190
37482,U / FA,908
37483,J / FA,132
37484,U / FA,0
37485,G / FI,3
37486,G / AR,3
37487,G / FI,11
37488,G / JR,0
37489,G / NA,267
37490,G / RA,128
37491,G / FI,31
37492,G / AR,6
37493,U / FI,87
37494,J / FI,1
37495,U / FI,2
37496,U / AR,2
37497,G / FI,144
37498,J / FI,31
37499,G / FI,39
37500,G / FI,2902
37501,G / AR,2076
37502,G / RA,269
37503,G / FA,596
37504,G / FI,772
37505,G / AR,660
37506,G / FI,0
37507,G / FI,0
37508,G / FI,0
37509,G / FA,50
37510,U / FI,7
37511,U / AR,4
37512,U / RA,1
37513,G / FI,0
37514,U / FA,3
37515,U / FI,11
37516,U / AR,6
37517,G / AR,126
37518,G / FI,120
37519,J / FA,9
37520,G / FA,47
37521,U / FI,0
37522,G / FI,0
37523,U / FI,196
37524,U / AR,26
37525,U / FI,3
37526,U / AR,1
37527,G / FA,3
37528,U / FI,0
37529,G / FI,1
37530,U / FA,192
37531,U / FA,0
37532,G / FI,1
37533,U / FA,276
37534,G / FI,15
37535,G / FI,1
37536,G / FA,335
37537,U / FA,20
37538,G / FI,435
37539,U / FA,6
37540,G / FI,151
37541,G / FI,10
37542,G / AR,2
37543,G / FI,0
37544,G / FI,282
37545,G / JR,0
37546,G / AR,81
37547,G / FI,35
37548,G / AR,82
37549,G / FI,5
37550,G / AR,0
37551,G / FI,16
37552,G / FA,3
37553,G / FI,2
37554,G / FI,18
37555,U / AR,250
37556,U / FA,1
37557,G / FI,15
37558,U / FI,8
37559,U / FI,2
37560,G / FI,1
37561,G / FA,1
37562,G / FI,81
37563,J / FA,0
37564,U / FI,0
37565,G / FA,68
37566,G / FI,15
37567,G / AR,0
37568,U / FI,38
37569,U / AR,9
37570,G / FI,0
37571,U / FA,3
37572,U / FI,7
37573,U / AR,3
37574,G / FA,0
37575,G / FI,373
37576,G / FI,17
37577,G / AR,2
37578,G / EO,98
37579,G / IN,88
37580,G / FI,395
37581,G / FA,16
37582,G / FA,726
37583,G / FA,4
37584,G / FI,3
37585,G / FI,3
37586,G / FA,19
37587,G / FI,77
37588,G / AR,8
37589,G / FI,100
37590,G / AR,1
37591,G / AR,58
37592,G / FI,2
37593,G / FI,4
37594,G / FI,0
37595,G / FI,1
37596,G / FI,1
37597,G / FI,19
37598,G / FI,24
37599,U / FA,0
37600,G / FI,86
37601,U / FA,120
37602,U / FA,9
37603,U / FA,1
37604,G / JR,0
37605,G / NA,20
37606,G / RA,5
37607,G / FI,1
37608,U / FI,0
37609,G / FI,14
37610,J / FI,0
37611,G / FI,1
37612,G / FI,1009
37613,G / AR,732
37614,G / RA,79
37615,G / FA,54
37616,G / FI,47
37617,G / AR,70
37618,G / FI,0
37619,G / FI,11
37620,G / FI,3
37621,G / FA,0
37622,U / AR,10
37623,U / FI,12
37624,U / RA,0
37625,G / FI,1
37626,U / FA,1
37627,U / AR,3
37628,G / AR,11
37629,G / FI,13
