title,author,img,rating
위험한 오빠,달콤체리.,https://novel-phinf.pstatic.net/20220316_277/novel_1647399484477Ji1Xk_JPEG/tnwjd1.jpg?type=f150_118_2,10.0
바보에는 장사없다,은서노,https://novel-phinf.pstatic.net/20210111_147/novel_1610344827663fBiXk_JPEG/final.jpg?type=f150_118_2,10.0
막내의 노예가 될 순 없어,금소,https://novel-phinf.pstatic.net/20220107_62/novel_1641566274155cUx10_JPEG/kkkkkkkkkkkkkkkkkkkkkkkkkk.jpg?type=f150_118_2,10.0
피 흘리며 피는 꽃(개정판),은밀희,https://novel-phinf.pstatic.net/20181022_116/novel_1540176515897X85SC_JPEG/korean-2587180_640.jpg?type=f150_118_2,10.0
혼인신고부터 했어요,펀트리,https://novel-phinf.pstatic.net/20200911_46/novel_1599754043131Xpw9q_JPEG/pexels-dominika-roseclay-1244700.jpg?type=f150_118_2,10.0
대표님의 그녀,재즈카페,https://novel-phinf.pstatic.net/20211218_254/novel_1639755477869ikk33_JPEG/mail.naver.jpg?type=f150_118_2,9.9
폭풍의 소나타,안나(Anna),https://novel-phinf.pstatic.net/20210929_279/novel_1632899541716Orxey_JPEG/endcover.jpg?type=f150_118_2,10.0
숨길수 없는 집착,원도환,https://novel-phinf.pstatic.net/20140730_214/novel_1406698788840XBbup_PNG/romance_4.png?type=f150_118_2,9.9
어린 신부의 남자,진이현,https://novel-phinf.pstatic.net/20171207_216/novel_151261756498118esS_JPEG/aadd.jpg?type=f150_118_2,10.0
나에게 특별한 그녀,아침안개,https://novel-phinf.pstatic.net/20180205_46/novel_1517821274830ifiOP_JPEG/special.jpg?type=f150_118_2,10.0
너를 걷다,신이봄,https://novel-phinf.pstatic.net/20180301_166/novel_151990640030821mJ8_JPEG/tm.jpg?type=f150_118_2,10.0
한번도 사랑한적 없는것처럼,원도환,https://novel-phinf.pstatic.net/20160531_270/novel_1464704537126NYAuo_PNG/romance_4.png?type=f150_118_2,9.8
러브 블라썸,딜리안,https://novel-phinf.pstatic.net/20220109_129/novel_16416988303247dXLo_JPEG/love%2Bblossom.jpg?type=f150_118_2,10.0
서랍을 열다,신이봄,https://novel-phinf.pstatic.net/20140415_246/novel_1397562389637FUDXp_JPEG/oppimg.jpg?type=f150_118_2,9.9
향기가 없는 그러나 치명적인 장미,정도령,https://novel-phinf.pstatic.net/20160829_108/novel_1472404462139QwMeH_JPEG/ED96A5EAB8B0%2BEC9786EB8A942CEAB7B8EB9FACEB8298%2BECB998EB.jpg?type=f150_118_2,10.0
너는 내 첫사랑이다.,달콤체리.,https://novel-phinf.pstatic.net/20220215_67/novel_1644916010251ny1mG_JPEG/navercover.jpg?type=f150_118_2,10.0
나쁜 여자 예쁜 남자,달콤체리.,https://novel-phinf.pstatic.net/20220303_94/novel_1646295650614KikLX_JPEG/1-3%2B28329.jpg?type=f150_118_2,10.0
우리 두 사람,로즈빈,https://novel-phinf.pstatic.net/20170501_212/novel_1493617635339rGPaF_JPEG/we.jpg?type=f150_118_2,10.0
뱀파이어 교수,oz,https://novel-phinf.pstatic.net/20161025_267/novel_1477401497988SdTA8_PNG/VP.png?type=f150_118_2,10.0
평범함을 위하여,다하루,https://novel-phinf.pstatic.net/20210803_167/novel_1627991328558lz5hi_PNG/KakaoTalk_20210803_204012836.png?type=f150_118_2,10.0
지독하게 너만을,진이현,https://novel-phinf.pstatic.net/20200714_26/novel_1594703721578uzb9l_JPEG/gnn.jpg?type=f150_118_2,10.0
노래 읽어주는 남자,soran,https://novel-phinf.pstatic.net/20140730_214/novel_1406698788840XBbup_PNG/romance_4.png?type=f150_118_2,10.0
우리의 아름다운 밤,이 정,https://novel-phinf.pstatic.net/20160429_151/novel_1461908648533Iz1kg_PNG/EBB0A4.png?type=f150_118_2,10.0
무녀의 딸 옥령(玉靈),보령,https://novel-phinf.pstatic.net/20220105_241/novel_1641308424507DJcw0_JPEG/1.jpg?type=f150_118_2,9.9
사랑에 오르다.,날기싫은 새,https://novel-phinf.pstatic.net/20140730_214/novel_1406698788840XBbup_PNG/romance_4.png?type=f150_118_2,10.0
Say you love me,맥끈,https://novel-phinf.pstatic.net/20210210_193/novel_1612929962388Me6JY_JPEG/Say%2Byou%2Blove%2Bme%2BED919CECA780.jpg?type=f150_118_2,10.0
💕 태어나기만 하면 너를 유혹한다,크루즈,https://novel-phinf.pstatic.net/20160705_194/novel_1467715387235Y8oIU_PNG/romance_6.png?type=f150_118_2,9.8
아이 아빠는 누구?,뽀송구름,https://novel-phinf.pstatic.net/20210204_295/novel_1612437492650aMtPX_JPEG/who4.jpg?type=f150_118_2,10.0
♥달콤한 설레임♥,손작가,https://novel-phinf.pstatic.net/20170922_211/novel_15060577341088zEJf_JPEG/love.jpg?type=f150_118_2,10.0
무서운 신입사원,크루즈,https://novel-phinf.pstatic.net/20210523_254/novel_162174802597502Ape_JPEG/5.jpg?type=f150_118_2,10.0
흰가운을 입은 악마,온통,https://novel-phinf.pstatic.net/20171111_283/novel_1510408925615VUh8n_PNG/1.png?type=f150_118_2,9.9
달콤 살벌한 첫사랑,진이현,https://novel-phinf.pstatic.net/20181029_175/novel_1540739737763NYmzo_JPEG/dso.jpg?type=f150_118_2,10.0
