,검색일,검색량의 일별 상대적 비율
243,2021-09-01,39.0
244,2021-09-02,59.5
245,2021-09-03,40.5
246,2021-09-04,27.0
247,2021-09-05,41.5
248,2021-09-06,42.5
249,2021-09-07,60.0
250,2021-09-08,58.0
251,2021-09-09,72.0
252,2021-09-10,46.5
253,2021-09-11,29.0
254,2021-09-12,35.0
255,2021-09-13,66.0
256,2021-09-14,100.0
257,2021-09-15,54.5
258,2021-09-16,70.0
259,2021-09-17,47.0
260,2021-09-18,17.0
261,2021-09-19,13.0
262,2021-09-20,20.49999
263,2021-09-21,17.5
264,2021-09-22,45.5
265,2021-09-23,62.0
266,2021-09-24,33.5
267,2021-09-25,32.0
268,2021-09-26,40.5
269,2021-09-27,59.0
270,2021-09-28,77.5
271,2021-09-29,70.0
272,2021-09-30,55.0
273,2021-10-01,49.0
274,2021-10-02,18.0
275,2021-10-03,24.0
276,2021-10-04,40.5
277,2021-10-05,52.5
278,2021-10-06,54.0
279,2021-10-07,47.0
280,2021-10-08,41.5
281,2021-10-09,21.0
282,2021-10-10,25.0
283,2021-10-11,40.5
284,2021-10-12,58.0
285,2021-10-13,57.5
286,2021-10-14,41.5
287,2021-10-15,34.49999
288,2021-10-16,29.5
289,2021-10-17,41.5
290,2021-10-18,55.0
291,2021-10-19,54.0
292,2021-10-20,62.0
293,2021-10-21,48.5
294,2021-10-22,46.5
295,2021-10-23,21.5
296,2021-10-24,30.0
297,2021-10-25,42.5
298,2021-10-26,54.0
299,2021-10-27,54.5
300,2021-10-28,56.49999
301,2021-10-29,47.0
302,2021-10-30,23.5
303,2021-10-31,47.5
304,2021-11-01,45.5
305,2021-11-02,70.0
306,2021-11-03,63.5
307,2021-11-04,37.5
308,2021-11-05,43.0
309,2021-11-06,27.5
310,2021-11-07,35.5
311,2021-11-08,42.5
312,2021-11-09,44.0
313,2021-11-10,30.5
314,2021-11-11,43.0
315,2021-11-12,40.0
316,2021-11-13,22.0
317,2021-11-14,30.0
318,2021-11-15,58.0
319,2021-11-16,42.5
320,2021-11-17,39.5
321,2021-11-18,29.0
322,2021-11-19,42.0
323,2021-11-20,24.5
324,2021-11-21,34.0
325,2021-11-22,52.0
326,2021-11-23,42.0
327,2021-11-24,29.0
328,2021-11-25,36.5
329,2021-11-26,30.5
330,2021-11-27,41.5
331,2021-11-28,57.5
332,2021-11-29,53.0
333,2021-11-30,47.5
334,2021-12-01,36.0
335,2021-12-02,54.5
336,2021-12-03,21.0
337,2021-12-04,45.5
338,2021-12-05,47.0
339,2021-12-06,30.0
340,2021-12-07,27.0
341,2021-12-08,31.5
342,2021-12-09,31.0
343,2021-12-10,22.0
344,2021-12-11,35.0
345,2021-12-12,48.0
346,2021-12-13,36.5
347,2021-12-14,21.0
348,2021-12-15,28.0
349,2021-12-16,23.5
350,2021-12-17,12.5
351,2021-12-18,32.0
352,2021-12-19,36.0
353,2021-12-20,59.0
354,2021-12-21,42.0
355,2021-12-22,40.99999
356,2021-12-23,33.5
357,2021-12-24,28.49999
358,2021-12-25,34.49999
359,2021-12-26,34.0
360,2021-12-27,40.99999
361,2021-12-28,51.0
362,2021-12-29,24.5
363,2021-12-30,26.5
364,2021-12-31,25.0
